name,id,pinyin
香江控股,600162,xiānɡ jiānɡ kōnɡ ɡǔ
福建南纸,600163,fú jiàn nā zhǐ
宁夏恒力,600165,nínɡ jiǎ hénɡ lì/li
福田汽车,600166,fú tián ɡài chē
联美控股,600167,lián měi kōnɡ ɡǔ
武汉控股,600168,wǔ hàn kōnɡ ɡǔ
太原重工,600169,tā yuán chónɡ ɡōnɡ
上海建工,600170,shǎnɡ hǎi jiàn ɡōnɡ
上海贝岭,600171,shǎnɡ hǎi bèi línɡ
黄河旋风,600172,huánɡ hé xuán fēnɡ
卧龙地产,600173,wò lónɡ de chǎn
美都控股,600175,měi dōu/dū kōnɡ ɡǔ
中国玻纤,600176,zhōnɡ ɡuó bō qiàn
雅戈尔,600177,yā ɡē ěr
东安动力,600178,dōnɡ ān dònɡ lì/li
*ST黑化,600179,* S T hēi huā
*ST九发,600180,* S T jiū fā
S佳通,600182,S jiā tōng
生益科技,600183,shēnɡ yì kē jì
光电股份,600184,ɡuānɡ diàn ɡǔ bīn
格力地产,600185,ɡē lì/li de chǎn
莲花味精,600186,lián huā mèi jīng
国中水务,600187,ɡuó zhōnɡ shuǐ wù
兖州煤业,600188,yǎn zhōu méi yè
吉林森工,600189,jí lín sēn ɡōnɡ
锦州港,600190,jǐn zhōu ɡǎnɡ
华资实业,600191,huá zī shí yè
长城电工,600192,chánɡ chénɡ diàn ɡōnɡ
创兴置业,600193,chuānɡ xīng zhì yè
中牧股份,600195,zhōnɡ mù ɡǔ bīn
复星医药,600196,fù xīng yī yào
伊力特,600197,yī lì/li tè
大唐电信,600198,dà tánɡ diàn shēn
金种子酒,600199,jīn chónɡ zǐ jiǔ
江苏吴中,600200,jiānɡ sū tun zhōnɡ
金宇集团,600201,jīn yǔ jí qiú
哈空调,600202,hā kōnɡ diào
*ST福日,600203,* S T fú rì
有研硅股,600206,wěi xíng ɡuī ɡǔ
ST安彩,600207,S T ān cǎi
新湖中宝,600208,xīn hú zhōnɡ bǎo
*ST罗顿,600209,* S T luō dú
紫江企业,600210,zǐ jiānɡ qǐ yè
西藏药业,600211,xī cánɡ yào yè
江泉实业,600212,jiānɡ quán shí yè
亚星客车,600213,yà xīng kè chē
长春经开,600215,chánɡ chūn jīnɡ kāi
浙江医药,600216,zhè jiānɡ yī yào
*ST秦岭,600217,* S T qín línɡ
全柴动力,600218,quán chái dònɡ lì/li
南山铝业,600219,nā shān lǚ yè
江苏阳光,600220,jiānɡ sū yánɡ ɡuānɡ
海南航空,600221,hǎi nā hánɡ kōnɡ
太龙药业,600222,tā lónɡ yào yè
鲁商置业,600223,lǔ shānɡ zhì yè
天津松江,600225,tiān jīn sōng jiānɡ
升华拜克,600226,shēnɡ huá bài kè
赤天化,600227,chì tiān huā
昌九生化,600228,chānɡ jiū shēnɡ huā
青岛碱业,600229,jīnɡ dǎo jiǎn yè
沧州大化,600230,cānɡ zhōu dà huā
凌钢股份,600231,líng ɡānɡ ɡǔ bīn
金鹰股份,600232,jīn yīng ɡǔ bīn
大杨创世,600233,dà yánɡ chuānɡ shì
ST天龙,600234,S T tiān lónɡ
民丰特纸,600235,mín fēnɡ tè zhǐ
桂冠电力,600236,ɡuī ɡuān diàn lì/li
铜峰电子,600237,tóng fēnɡ diàn zǐ
海南椰岛,600238,hǎi nā yē dǎo
云南城投,600239,yún nā chénɡ dòu
华业地产,600240,huá yè de chǎn
时代万恒,600241,shí dài mò hénɡ
ST华龙,600242,S T huá lónɡ
青海华鼎,600243,jīnɡ hǎi huá dǐnɡ
万通地产,600246,mò tōng de chǎn
成城股份,600247,chénɡ chénɡ ɡǔ bīn
延长化建,600248,yán chánɡ huā jiàn
两面针,600249,liǎnɡ miàn zhēn
南纺股份,600250,nā fǎnɡ ɡǔ bīn
冠农股份,600251,ɡuān nónɡ ɡǔ bīn
中恒集团,600252,zhōnɡ hénɡ jí qiú
天方药业,600253,tiān fānɡ yào yè
鑫科材料,600255,xīn kē cái liào
广汇股份,600256,ān huì ɡǔ bīn
大湖股份,600257,dà hú ɡǔ bīn
首旅股份,600258,shǒu lǚ ɡǔ bīn
广晟有色,600259,ān chénɡ wěi sè
凯乐科技,600260,kǎi lè kē jì
阳光照明,600261,yánɡ ɡuānɡ zhào mènɡ
北方股份,600262,běi fānɡ ɡǔ bīn
路桥建设,600263,lù qiáo jiàn shè
景谷林业,600265,jǐnɡ ɡǔ lín yè
北京城建,600266,běi jīnɡ chénɡ jiàn
海正药业,600267,hǎi zhēnɡ yào yè
国电南自,600268,ɡuó diàn nā zì
赣粤高速,600269,ɡàn yuè ɡāo sù
外运发展,600270,wài yǔn fā zhǎn
航天信息,600271,hánɡ tiān shēn xī
开开实业,600272,kāi kāi shí yè
华芳纺织,600273,huá fānɡ fǎnɡ zhī
ST昌鱼,600275,S T chānɡ yú
恒瑞医药,600276,hénɡ ruì yī yào
亿利能源,600277,yì lì nái yuán
东方创业,600278,dōnɡ fānɡ chuānɡ yè
重庆港九,600279,chónɡ qìng ɡǎnɡ jiū
南京中商,600280,nā jīnɡ zhōnɡ shānɡ
太化股份,600281,tā huā ɡǔ bīn
南钢股份,600282,nā ɡānɡ ɡǔ bīn
钱江水利,600283,qián jiānɡ shuǐ lì
浦东建设,600284,pǔ dōnɡ jiàn shè
羚锐制药,600285,líng ruì zhì yào
江苏舜天,600287,jiānɡ sū shùn tiān
大恒科技,600288,dà hénɡ kē jì
亿阳信通,600289,yì yánɡ shēn tōng
华仪电气,600290,huá yí diàn qǐ
西水股份,600291,xī shuǐ ɡǔ bīn
九龙电力,600292,jiū lónɡ diàn lì/li
三峡新材,600293,sān xiá xīn cái
鄂尔多斯,600295,è ěr duō shǐ
美罗药业,600297,měi luō yào yè
安琪酵母,600298,ān qí jiào mú
*ST新材,600299,* S T xīn cái
维维股份,600300,wéi wéi ɡǔ bīn
*ST南化,600301,* S T nā huā
标准股份,600302,biāo zhǔn ɡǔ bīn
曙光股份,600303,shǔ ɡuānɡ ɡǔ bīn
恒顺醋业,600305,hénɡ shùn cù yè
商业城,600306,shānɡ yè chénɡ
酒钢宏兴,600307,jiǔ ɡānɡ hónɡ xīng
华泰股份,600308,huá tài ɡǔ bīn
烟台万华,600309,yān sì mò huá
桂东电力,600310,ɡuī dōnɡ diàn lì/li
荣华实业,600311,róng huá shí yè
平高电气,600312,bēnɡ ɡāo diàn qǐ
上海家化,600315,shǎnɡ hǎi ɡū huā
洪都航空,600316,hónɡ dōu/dū hánɡ kōnɡ
营口港,600317,yíng kǒu ɡǎnɡ
巢东股份,600318,cháo dōnɡ ɡǔ bīn
亚星化学,600319,yà xīng huā xué
振华重工,600320,zhēn huá chónɡ ɡōnɡ
国栋建设,600321,ɡuó dònɡ jiàn shè
