"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"241",172.399994,173.130005,171.649994,172.220001,20476500,168.948074
"242",173.630005,174.169998,172.460007,173.970001,40169300,170.664841
"243",174.880005,177.199997,174.860001,176.419998,29421100,173.068283
"244",175.029999,175.389999,174.089996,174.539993,27436400,171.224014
"245",174.869995,175.419998,173.25,174.350006,23475600,171.037628
"246",174.169998,176.020004,174.100006,175.009995,20949900,171.685074
"247",174.679993,175.419998,174.5,175.009995,16114600,171.685074
"248",170.800003,171.470001,169.679993,170.570007,33185500,167.329453
"249",170.100006,170.779999,169.710007,170.600006,21498200,167.358871
"250",171,171.850006,170.479996,171.080002,16480200,167.829758
"251",170.520004,170.589996,169.220001,169.229996,25884400,166.014908
"252",170.160004,172.300003,169.259995,172.259995,25555900,168.98732
"253",172.529999,174.550003,171.960007,172.229996,29517900,168.957886
"254",172.539993,173.470001,172.080002,173.029999,22434600,169.742706
"255",173.440002,175.369995,173.050003,175,23660000,171.675278
"256",174.350006,175.610001,173.929993,174.350006,20567800,171.037628
"257",174.550003,175.059998,173.410004,174.330002,21584000,171.018005
"258",173.160004,174.300003,173,174.289993,23959900,170.97876
"259",174.589996,175.490005,174.490005,175.279999,18667700,171.949951
"260",176.179993,177.360001,175.649994,177.089996,25226000,173.725571
"261",177.899994,179.389999,176.139999,176.190002,29565900,172.842682
"262",176.149994,179.25,175.070007,179.100006,34386800,175.697388
"263",179.369995,180.100006,178.25,179.259995,31193400,175.85434
"264",178.610001,179.580002,177.410004,178.460007,32425100,175.06955
"265",177.300003,177.779999,176.600006,177,27108600,173.637283
"266",177.300003,179.440002,176.820007,177.039993,32689100,173.676514
"267",177.25,177.300003,173.199997,174.220001,51105100,170.91008
"268",174.509995,174.949997,170.529999,171.110001,41529000,167.859161
"269",172,172,170.059998,171.509995,39143000,168.251556
"270",170.160004,170.160004,167.070007,167.960007,50640400,164.769012
"271",165.529999,167.369995,164.699997,166.970001,46048200,163.797836
"272",166.869995,168.440002,166.5,167.429993,32478900,164.249084
"273",167.169998,168.619995,166.759995,167.779999,47230800,164.592438
"274",166,166.800003,160.100006,160.5,86593800,157.450745
"275",159.100006,163.880005,156,156.490005,72738500,153.516953
"276",154.830002,163.720001,154,163.029999,68243800,159.932663
"277",163.089996,163.399994,159.070007,159.539993,51608600,156.508972
"278",160.289993,161,155.029999,155.149994,54390500,152.202393
"279",157.070007,157.889999,150.240005,156.410004,70672600,154.064056
"280",158.5,163.889999,157.509995,162.710007,60819500,160.269562
"281",161.949997,164.75,161.649994,164.339996,32549200,161.875107
"282",163.039993,167.539993,162.880005,167.369995,40644900,164.85965
"283",169.789993,173.089996,169,172.990005,51147200,170.39537
"284",172.360001,174.820007,171.770004,172.429993,40176100,169.843765
"285",172.050003,174.259995,171.419998,171.850006,33930500,169.272461
"286",172.830002,174.119995,171.009995,171.070007,37471600,168.504166
